School ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Grade 12 offered [Public School] 2018-19,Grade 13 Offered [Public School] 2018-19,Ungraded offered [Public School] 2018-19,Adult Education Offered [Public School] 2018-19,No Grades Offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Includes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Direct Certification [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
481623012796,ANN RICHARDS STEAM ACADEMY,Texas,2-No,2-No,2-No,2-No,2-No,1322,1322,1266,–,0,1266,†,82,16.12
482223005997,ANN WHITNEY EL,Texas,2-No,2-No,2-No,2-No,2-No,427,427,205,–,25,230,†,34.9,12.23
480834013704,ANNA EDUCATION CENTER,TEXAS,–,–,–,–,–,†,†,†,†,†,†,†,†,†
480834000207,ANNA H S,Texas,1-Yes,2-No,2-No,2-No,2-No,947,947,304,–,68,372,947,67.97,13.93
482892011336,ANNA MAY DAULTON EL,Texas,2-No,2-No,2-No,2-No,2-No,743,743,90,–,17,107,†,43.93,16.91
480834006502,ANNA MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,862,862,311,–,70,381,†,56.76,15.19
481623007571,ANNE FRANK EL,Texas,2-No,2-No,2-No,2-No,2-No,1119,1119,865,–,0,865,†,64.16,17.44
480005313163,ANNE FRANK INSPIRE ACADEMY,TEXAS,1-Yes,2-No,2-No,2-No,2-No,406,406,71,–,0,71,119,17.44,23.28
481818009558,ANNE L MAGEE EL,Texas,2-No,2-No,2-No,2-No,2-No,440,440,394,–,0,394,†,28.07,15.68
481965013166,ANNE MCCORMICK SULLIVAN EL,TEXAS,2-No,2-No,2-No,2-No,2-No,1310,1310,69,–,10,79,†,74.38,17.61
482892011398,ANNETTE PERRY EL,Texas,2-No,2-No,2-No,2-No,2-No,472,472,189,–,35,224,†,31.24,15.11
482060002072,ANNIE PURL EL,Texas,2-No,2-No,2-No,2-No,2-No,732,732,489,–,70,559,†,60.97,12.01
483176003536,ANNIE SIMS EL,Texas,2-No,2-No,2-No,2-No,2-No,526,526,405,–,0,405,†,38.1,13.81
481623001214,ANNIE WEBB BLANTON EL,Texas,2-No,2-No,2-No,2-No,2-No,657,657,628,–,0,628,†,42,15.64
480007109074,ANNUNCIATION MATERNITY HOME,Texas,1-Yes,2-No,2-No,2-No,2-No,8,8,†,–,†,†,8,1,8
480840000210,ANSON EL,Texas,2-No,2-No,2-No,2-No,2-No,373,373,242,–,31,273,†,29.97,12.45
480840000208,ANSON H S,Texas,1-Yes,2-No,2-No,2-No,2-No,208,208,90,–,17,107,208,22.69,9.17
481623001291,ANSON JONES EL,Texas,2-No,2-No,2-No,2-No,2-No,659,659,633,–,0,633,†,39.21,16.81
481179021135,ANSON JONES EL,Texas,2-No,2-No,2-No,2-No,2-No,557,557,510,–,35,545,†,37.14,15
480840000209,ANSON MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,168,168,75,–,28,103,†,16.48,10.19
484372004966,ANTHON EL,Texas,2-No,2-No,2-No,2-No,2-No,556,556,457,–,0,457,†,32.08,17.33
480843006503,ANTHONY EL,Texas,2-No,2-No,2-No,2-No,2-No,424,424,424,–,0,424,†,27,15.7
480843000212,ANTHONY H S,Texas,1-Yes,2-No,2-No,2-No,2-No,230,230,230,–,0,230,230,18.22,12.62
481611013026,ANTHONY MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,1566,1566,597,–,157,754,†,86.66,18.07
480843008550,ANTHONY MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,189,189,189,–,0,189,†,12.6,15
